class,feature,mean_abs_shap
U2R,is_host_login,0.0
U2R,rerror_rate,0.0
U2R,flag_OTH,0.0
U2R,flag_REJ,0.0
U2R,flag_RSTO,0.0
U2R,flag_RSTOS0,0.0
U2R,flag_RSTR,0.0
U2R,flag_S0,0.0
U2R,flag_S2,0.0
U2R,flag_S3,0.0
U2R,flag_SH,0.0
normal,src_bytes,2.013183832168579
normal,service,1.817842721939087
normal,dst_host_same_srv_rate,0.4116860330104828
normal,count,0.38511934876441956
normal,dst_bytes,0.3359019160270691
normal,dst_host_same_src_port_rate,0.29301685094833374
normal,hot,0.267367959022522
normal,dst_host_diff_srv_rate,0.17918790876865387
normal,srv_count,0.17843738198280334
normal,dst_host_count,0.15130071341991425
normal,dst_host_srv_diff_host_rate,0.14266732335090637
normal,serror_rate,0.14152351021766663
normal,duration,0.12180821597576141
normal,same_srv_rate,0.11827339977025986
normal,protocol_type_udp,0.1048305407166481
normal,diff_srv_rate,0.08549527078866959
normal,flag_SF,0.07600141316652298
normal,num_file_creations,0.0605878047645092
normal,protocol_type_icmp,0.055540598928928375
normal,protocol_type_tcp,0.046270664781332016
normal,rerror_rate,0.043871503323316574
normal,num_root,0.030851757153868675
normal,logged_in,0.026796206831932068
normal,srv_diff_host_rate,0.013161219656467438
normal,flag_S0,0.010707261972129345
normal,is_guest_login,0.009929259307682514
normal,flag_RSTR,0.008459342643618584
normal,flag_RSTO,0.0072532095946371555
normal,wrong_fragment,0.006942788138985634
normal,root_shell,0.006645834539085627
normal,flag_REJ,0.006313035264611244
normal,num_shells,0.0030486437026411295
normal,flag_S1,0.002263725735247135
normal,land,0.0012754501076415181
normal,num_failed_logins,0.001233606948517263
normal,num_access_files,0.0008618503343313932
normal,urgent,0.0005966898170299828
normal,su_attempted,0.0003462465538177639
normal,flag_SH,0.00013711258361581713
normal,flag_S2,1.4352313883136958e-05
normal,is_host_login,0.0
normal,flag_OTH,0.0
normal,flag_RSTOS0,0.0
normal,flag_S3,0.0
