ablation,restored_features,processed_features,accuracy,macro_f1,weighted_f1,normal_precision,normal_recall,normal_f1,DoS_precision,DoS_recall,DoS_f1,Probe_precision,Probe_recall,Probe_f1,R2L_precision,R2L_recall,R2L_f1,U2R_precision,U2R_recall,U2R_f1,training_time_seconds,prediction_time_seconds
restore_dst_host_srv_count,dst_host_srv_count,45,0.9991665012899384,0.9573787880860574,0.999166833844867,0.9991834310741593,0.9993317989457272,0.9992576095025983,0.9998911149825784,0.9996734160679295,0.9997822536744693,0.9982825246887076,0.9974259974259975,0.9978540772532188,0.9850746268656716,0.9949748743718593,0.99,0.8,0.8,0.8,5.132025250000879,0.0629248340264894
restore_all_nonconstant_dropped,"num_compromised,srv_serror_rate,dst_host_serror_rate,dst_host_srv_serror_rate,srv_rerror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,dst_host_srv_count",52,0.9991665012899384,0.9564154770680533,0.999167596584654,0.9992575543841413,0.9992575543841413,0.9992575543841413,1.0,0.9997822773786197,0.9998911268372346,0.9982825246887076,0.9974259974259975,0.9978540772532188,0.9753694581280788,0.9949748743718593,0.9850746268656716,0.8,0.8,0.8,6.213021709001623,0.06432437500916421
current_policy,,44,0.999047430045644,0.9533291536538224,0.9990605488369909,0.9991832491832492,0.9991090652609697,0.9991461558451201,0.9998911149825784,0.9996734160679295,0.9997822536744693,0.9978540772532188,0.9974259974259975,0.9976399914181506,0.985,0.9899497487437185,0.9874686716791979,0.6923076923076923,0.9,0.782608695652174,5.100621875026263,0.06606775004183874
restore_num_compromised,num_compromised,45,0.999047430045644,0.9533291536538224,0.9990605488369909,0.9991832491832492,0.9991090652609697,0.9991461558451201,0.9998911149825784,0.9996734160679295,0.9997822536744693,0.9978540772532188,0.9974259974259975,0.9976399914181506,0.985,0.9899497487437185,0.9874686716791979,0.6923076923076923,0.9,0.782608695652174,5.181279624986928,0.06947575003141537
restore_error_rate_group,"srv_serror_rate,dst_host_serror_rate,dst_host_srv_serror_rate,srv_rerror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate",50,0.999047430045644,0.9528495732143814,0.9990608230423036,0.9991090652609697,0.9991090652609697,0.9991090652609697,1.0,0.9997822773786197,0.9998911268372346,0.9982817869415808,0.996996996996997,0.9976389783215283,0.9800995024875622,0.9899497487437185,0.985,0.6923076923076923,0.9,0.782608695652174,4.938389334012754,0.06470633303979412
restore_key_dropped,"num_compromised,dst_host_srv_count",46,0.9988886683865846,0.929553839038056,0.9988963659402706,0.9991089329472043,0.9989605761377979,0.999034749034749,0.9998911149825784,0.9996734160679295,0.9997822536744693,0.9974248927038627,0.996996996996997,0.9972108989487235,0.9753694581280788,0.9949748743718593,0.9850746268656716,0.6363636363636364,0.7,0.6666666666666666,5.487250040983781,0.06410945899551734
