candidate,fold,processed_features,accuracy,macro_f1,weighted_f1,normal_precision,normal_recall,normal_f1,DoS_precision,DoS_recall,DoS_f1,Probe_precision,Probe_recall,Probe_f1,R2L_precision,R2L_recall,R2L_f1,U2R_precision,U2R_recall,U2R_f1,training_time_seconds
current_policy,1,44,0.9987299067275253,0.9331188140119778,0.9987644416722286,0.9991828851582232,0.9986635978914544,0.9989231740373548,0.9996733449477352,0.9995645073489385,0.9996189231858021,0.9961522017956391,0.9991423670668954,0.9976450438878185,0.9896907216494846,0.964824120603015,0.9770992366412213,0.5625,0.9,0.6923076923076923,5.982920208014548
current_policy,2,44,0.9990077396308792,0.9362736454640276,0.998995886672385,0.9989608076009501,0.9991833098225555,0.9990720463234475,1.0,0.9998911268372346,0.9999455604551146,0.9974259974259975,0.9974259974259975,0.9974259974259975,0.9849246231155779,0.9849246231155779,0.9849246231155779,0.7777777777777778,0.6363636363636364,0.7,5.5767031669965945
current_policy,3,44,0.9993252629489978,0.9885655439107739,0.9993241751273341,0.9994802108858691,0.9993317989457272,0.9994059994059994,0.9991295832879992,0.9997822536744693,0.9994558119286026,0.9995706311721769,0.9987129987129987,0.9991416309012876,0.9949494949494949,0.9899497487437185,0.9924433249370277,1.0,0.9090909090909091,0.9523809523809523,5.388284582993947
current_policy,4,44,0.9989680082559339,0.9360189768470754,0.9989862613645336,0.9991830672112886,0.998960498960499,0.9990717706902313,0.9995646021552194,0.9996734160679295,0.9996190061503293,0.9987118935165307,0.9978549978549979,0.9982832618025751,0.985,0.9899497487437185,0.9874686716791979,0.6153846153846154,0.8,0.6956521739130435,4.740778875013348
current_policy,5,44,0.9990473922362467,0.9422151415529137,0.999057343883404,0.9989608847324278,0.9993317493317493,0.9991462826175718,0.9998911386893098,0.9998911386893098,0.9998911386893098,0.9982810485603781,0.9965679965679966,0.9974237870330614,0.9948979591836735,0.9798994974874372,0.9873417721518988,0.6666666666666666,0.8,0.7272727272727273,5.622980792017188
restore_dst_host_srv_count,1,45,0.9987695971422902,0.9331365646852952,0.9988039676327104,0.9990346773594713,0.9988863315762121,0.998960498960499,0.9996733805117038,0.9996733805117038,0.9996733805117038,0.997428204029147,0.9978559176672385,0.9976420150053591,0.9896907216494846,0.964824120603015,0.9770992366412213,0.5625,0.9,0.6923076923076923,4.853347833035514
restore_dst_host_srv_count,2,45,0.9989680492161143,0.9282116454111685,0.998942962375734,0.9989607304580209,0.9991090652609697,0.9990348923533778,1.0,0.9998911268372346,0.9999455604551146,0.9978549978549979,0.9978549978549979,0.9978549978549979,0.9702970297029703,0.9849246231155779,0.9775561097256857,0.8571428571428571,0.5454545454545454,0.6666666666666666,5.931660166010261
restore_dst_host_srv_count,3,45,0.999523715022822,0.9897069793509894,0.9995227475323378,0.999777183600713,0.9994060435073131,0.9995915791037018,0.999129677980853,0.9998911268372346,0.9995102573869511,0.9995709995709996,0.9995709995709996,0.9995709995709996,1.0,0.9949748743718593,0.9974811083123426,1.0,0.9090909090909091,0.9523809523809523,4.717346000019461
restore_dst_host_srv_count,4,45,0.9991664682067158,0.9313372222047962,0.9991734527320414,0.9993316004455997,0.9991089991089991,0.9992202873797943,0.9997822773786197,0.9997822773786197,0.9997822773786197,0.9987124463519313,0.9982839982839983,0.9984981763570049,0.9851485148514851,1.0,0.9925187032418953,0.6363636363636364,0.7,0.6666666666666666,6.003979040950071
restore_dst_host_srv_count,5,45,0.9988886242756212,0.9300318036441343,0.9988945067605592,0.9987384044526901,0.9992574992574993,0.9989978844226701,0.9998911031253404,0.9995645547572393,0.999727802275573,0.9978531558608845,0.996996996996997,0.9974248927038627,0.9948979591836735,0.9798994974874372,0.9873417721518988,0.6363636363636364,0.7,0.6666666666666666,5.185269417008385
